■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2019-10-25,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2017-10-24~2019-10-24???영화구분: 일반영화???국적: 한국???지역: 전체???제작사 : 전체???배급사 : 전체???감독명 : 전체???배우명 : 전체???등급별 : 전체???장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
350,아가씨 참으세요,1981-09-19,"540,000",0.0%,"1,129,000",270,577,1,8,한국,한국,(주)동아수출공사,,국민학생관람불가,"드라마,범죄",이형표,"권영문,정윤희,서영란"
350,흑룡강,1976-10-09,"540,000",0.0%,"1,204,000",270,612,1,8,한국,한국,(주)동아수출공사,,,액션,김선경,"왕호,황태수,조춘"
352,플란다스의 개,2000-02-19,"2,272,200",0.0%,"4,416,200",269,609,1,4,한국,한국,우노필름,(주)시네마서비스,12세관람가,"드라마,코미디",봉준호,"배두나,고수희,이성재,변희봉,김호정,김뢰하"
353,2017 중앙영화제 보름달,,"1,340,000",0.0%,"1,340,000",268,268,1,2,한국,한국,,,,기타,,
353,계춘할망,2016-05-19,"1,855,000",0.0%,"3,602,649,348",268,"482,784",1,9,한국,한국,"지오엔터테인먼트,(주)퍼플켓츠필름,(주)빅스토리픽쳐스",(주)콘텐츠 난다긴다,15세이상관람가,"가족,드라마",창,"윤여정,김고은,김희원,신은정,최민호,류준열,양익준,박민지,남태부,강경탁,안지혜,이상화,이슬비,이윤혁,신문성,오희준,김영철"
353,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,"1,343,000",0.0%,"3,296,535,700",268,"446,054",2,32,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,박영균,"이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현,홍범기"
356,그들도 우리처럼,1990-11-10,"516,000",0.0%,"734,000",267,310,1,16,한국,한국,(주)동아수출공사,,연소자관람불가,드라마,박광수,"김민희,문성근,최재호,심혜진,박중훈"
356,소림천하,1978-11-04,"534,000",0.0%,"534,000",267,267,1,8,한국,한국,(주)동아수출공사,,청소년관람불가,액션,"김종성,황풍","왕호,모영,주강,박종국,금강,황가달"
358,파문,,"529,000",0.0%,"529,000",264,264,1,16,한국,한국,,,,"멜로/로맨스,드라마",최훈,문희
359,화녀 '82,1982-06-26,"2,090,500",0.0%,"2,090,500",262,262,1,4,한국,한국,신한영화(주),,연소자관람불가,"드라마,범죄,스릴러",김기영,"김지미,전무송,나영희,김해숙"
360,멀리있는 그대와 가까이 있는 당신에게,,"1,300,000",0.0%,"2,210,000",260,442,1,3,한국,한국,,,,다큐멘터리,안현준,
361,만추,1982-02-28,"516,000",0.0%,"3,564,000",258,"1,600",1,8,한국,한국,(주)동아수출공사,,연소자관람불가,"드라마,멜로/로맨스",김수용,"정동환,김혜자"
362,SIFF2017-경쟁단편 6,,"1,792,600",0.0%,"1,792,600",257,257,1,3,한국,한국,,,,기타,,
363,엄마 애인 3,2019-05-23,"1,348,000",0.0%,"1,348,000",256,256,20,39,한국,한국,너바나 필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,정진호,
364,2019 한국영화아카데미 35기 졸업영화제 실습1,,"961,500",0.0%,"961,500",255,255,1,4,한국,한국,,,,드라마,,
364,SIFF2017-경쟁단편 3,,"1,762,500",0.0%,"1,762,500",255,255,1,3,한국,한국,,,,기타,,
366,음란 과외 2,2019-05-23,"1,341,000",0.0%,"1,341,000",250,250,20,39,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,최우성,
366,진짜 진짜 잊지마,1976-02-14,"505,000",0.0%,"899,000",250,457,1,8,한국,한국,(주)동아수출공사,,12세이상관람가,"드라마,멜로/로맨스",문여송,"이덕화,임예진,김윤경,김보연"
368,아빠와 딸,2019-06-07,"1,407,000",0.0%,"1,407,000",248,248,20,20,한국,한국,(주)디에이치미디어,(주)디에이치미디어,청소년관람불가,"멜로/로맨스,드라마",왕지방,"조완진,진시아"
369,옵티그래프,,"1,459,000",0.0%,"1,531,500",247,264,1,7,한국,한국,,,,다큐멘터리,이원우,
369,중독,,"2,223,000",0.0%,"2,223,000",247,247,1,1,한국,한국,파이오니아21,(주)드림팩트엔터테인먼트,15세이상관람가,다큐멘터리,"김상철,이현철",한영호
371,MSFF2018 절대악몽 1,,"1,446,600",0.0%,"1,446,600",246,246,1,2,한국,한국,,,,"공포(호러),판타지",,
372,MSFF2019 전년도수상작 2,,"1,470,000",0.0%,"1,470,000",245,245,1,2,한국,한국,,,,기타,,
372,누나의 속사정,2019-07-17,"1,184,000",0.0%,"1,184,000",245,245,20,21,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이가온,
372,새엄마들 2019,2019-07-23,"1,289,000",0.0%,"1,289,000",245,245,21,21,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,왕지방,
372,어린 엄마의 비밀,2019-07-18,"1,184,000",0.0%,"1,184,000",245,245,20,21,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,
372,어우동과 춘향뎐,2019-08-09,"1,184,000",0.0%,"1,184,000",245,245,20,21,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이동현,
377,국가 성생활 관리위원회-무삭제판,2018-12-13,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,지산겸,
377,그녀의 하드코어-무삭제판,2019-03-21,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이동현,
377,김본좌의 야동남녀- 무삭제판,2018-11-14,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,박은수,
377,내 여자의 정사: 감독판,2018-06-19,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민,
377,마지막 정사: 여럿이 다같이-무삭제판,2018-10-23,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,
377,맛있는 섹스 누나 친구-감독판,2018-04-17,"1,188,000",0.0%,"1,188,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,
377,맛있는 스와핑,2018-08-14,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,김종민,
377,매일 죽는 남자,1981-02-14,"488,000",0.0%,"488,000",244,244,1,8,한국,한국,(주)동아수출공사,,연소자관람불가,"드라마,미스터리,범죄,스릴러",이원세,"유지인,신영일,김추련,허진,신성일"
377,새 어린 엄마 - 무삭제판,2018-11-27,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민,
377,세 번째 엄마 무삭제판,2018-12-11,"1,183,000",0.0%,"1,183,000",244,244,18,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,민이,
377,스와핑 민박집,2018-09-27,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,박은수,"김기수,김윤주"
377,아내의 외도: 감독판,2018-04-17,"1,188,000",0.0%,"1,188,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민,
377,아내의 친구,2019-09-12,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이가온,
377,야한 짓: 감독판,2018-05-29,"1,187,000",0.0%,"1,187,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민,
377,어린 새엄마-무삭제판,2018-10-24,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,
377,어린 아가씨,2019-09-05,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이가온,
377,어린동생-무삭제,2019-03-28,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,"드라마,멜로/로맨스",이동현,
377,엄마 친구의 떡 선물-무삭제판,2019-03-28,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,민이,
377,완전한 사육: 감금의 미학,2018-10-11,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이동현,이채담
377,음란 조선 기방,2018-07-04,"1,183,000",0.0%,"1,183,000",244,244,10,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,
377,음란야도,2019-09-05,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이가온,
377,이웃집 형수-무삭제,2019-04-16,"1,183,000",0.0%,"1,183,000",244,244,19,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이동현,
377,젊은엄마 그리고 섹스,2019-08-29,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민환,
377,조선음란기방 옥미향 명기열전,2019-01-03,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,
377,중독: 관음증-감독판,2018-05-29,"1,187,000",0.0%,"1,187,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민,
377,친구엄마 그리고 정사-무삭제판,2019-01-30,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,
377,향단이 나르샤 감독판,2018-06-20,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이동현,
404,두번째 엄마2-무삭제판,2018-11-20,"1,178,000",0.0%,"1,178,000",243,243,18,19,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,
404,새 엄마의 선물 떡 - 무삭제판,2018-11-20,"1,178,000",0.0%,"1,178,000",243,243,18,19,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,
404,새로운 엄마친구-무삭제판,2018-11-20,"1,178,000",0.0%,"1,178,000",243,243,18,19,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,민이,
404,아 백범 김구선생,,"486,000",0.0%,"3,458,000",243,"1,738",1,6,한국,한국,,,,사극,전창근,"전창근,조미령,황정순,황해,윤일봉"
404,조선음란기방 옥미향,,"1,178,000",0.0%,"1,178,000",243,243,19,19,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,
409,2019 한국영화아카데미 35기 졸업영화제 실습2,,"921,500",0.0%,"921,500",239,239,1,4,한국,한국,,,,드라마,,
409,내 엄마의 친구,2018-05-17,"1,292,000",0.0%,"1,292,000",239,239,20,20,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이진명,김현진
409,야한 정사의 맛 - 무삭제판,2018-11-07,"1,178,000",0.0%,"1,178,000",239,239,15,15,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민,
409,착한 장모,2018-07-09,"1,292,000",0.0%,"1,292,000",239,239,20,20,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이진명,
409,카트,2014-11-13,"1,562,700",0.0%,"5,929,808,133",239,"814,676",1,6,한국,한국,(주)명필름,(주)리틀빅픽쳐스,12세이상관람가,드라마,부지영,"염정아,문정희,김영애,김강우,이승준,도경수,김민경,김선간,김지은,김지현,김현,이고운,이승준,이주현,이지혜,김수안,지우,길해연,황정민,김희원,박미현,송지인,장리우,목규리,박수영,이창훈,천우희,박지연,박성연"
414,SIDOF2019_SFdrome: 주세죽/눈의 마음: 이후/스윗 골든 키위,,"1,334,000",0.0%,"1,334,000",236,236,1,2,한국,한국,,,,다큐멘터리,,
414,caff 단편경쟁 1,,"1,180,000",0.0%,"1,180,000",236,236,1,2,한국,한국,,,,기타,,
414,caff 단편경쟁 2,,"1,180,000",0.0%,"1,180,000",236,236,1,2,한국,한국,,,,기타,,
417,얼굴이 아니고 마음입니다,1983-11-19,"468,000",0.0%,"2,835,000",234,"1,426",1,8,한국,한국,(주)동아수출공사,,국민학생관람불가,"드라마,코미디",이형표,"김지영,원미경,최재호,지영경,이주일"
418,단편섹션 1 (이주영 배우전),,"1,165,000",0.0%,"1,165,000",233,233,1,3,한국,한국,,,,기타,,
419,산딸기 6,1994-07-16,"464,000",0.0%,"464,000",232,232,1,11,한국,한국,(주)서강기획,,연소자관람불가,"멜로/로맨스,성인물(에로)",김수형,"이영욱,강혜지"
419,슈퍼 빼꼼: 스파이 대작전,2017-05-03,"1,360,000",0.0%,"712,734,900",232,"99,752",1,29,한국,한국,(합)알지애니메이션스튜디오,메가박스중앙(주)플러스엠,전체관람가,"애니메이션,코미디",임아론,"김태균,최정현,최낙윤,남도형,윤용식,김성연,박상호,장현주"
419,왕의 남자,2005-12-29,"2,419,000",0.0%,"66,017,855,400",232,"10,513,947",1,3,한국,한국,"(주)씨네월드,(주)이글픽쳐스",(주)시네마서비스,15세이상관람가,드라마,이준익,"감우성,이준기,유해진,정진영,박영수,강성연,이건우,이동수,이동헌,유효정,윤준식,박성호,김주홍,이정민,김윤정,장항선,정석용,신정근,우현,정대용,최일화,윤주상"
422,나는보리,,"1,566,000",0.0%,"1,566,000",231,231,1,4,한국,한국,파도,,,"가족,드라마",김진유,"김아송,이린하,곽진석,허지나"
423,CaFF 2018 단편경쟁 1,,"1,150,000",0.0%,"1,150,000",230,230,1,2,한국,한국,,,,기타,,
423,CaFF 2018 단편경쟁 3,,"1,150,000",0.0%,"1,150,000",230,230,1,2,한국,한국,,,,기타,,
423,SIFF2018-경쟁단편 2,,"1,577,500",0.0%,"1,577,500",230,230,1,3,한국,한국,,,,기타,,
423,SISFF 2017 가족의 발견,,"1,150,000",0.0%,"1,150,000",230,230,1,2,한국,한국,,,,기타,,
423,caff 단편경쟁 3,,"1,150,000",0.0%,"1,150,000",230,230,1,2,한국,한국,,,,기타,,
423,연가시,2012-07-05,"1,150,000",0.0%,"32,176,550,664",230,"4,516,063",1,4,한국,한국,(주)오죤필름,씨제이이앤엠(주),15세이상관람가,"공포(호러),SF",박정우,"김명민,강지원,문정희,김동완,이하늬,강신일,최일화,이행춘,장형원,정경임,최동헌,김상오,최정수,박유정,황경호,이민수,이은채,박종원,박진영,서병덕,송광주,신상열,안용우,이나연,이동하,이주원,송영창,조덕현,최정우,전국환,주석태,김승훈"
423,타워,2012-12-25,"1,150,000",0.0%,"37,656,008,000",230,"5,181,244",1,4,한국,한국,"씨제이이앤엠(주),(주)더타워픽쳐스",씨제이이앤엠(주),12세이상관람가,드라마,김지훈,"설경구,손예진,김상경,김인권,도지한,안성기,이한위,김성오,송재호,차인표,박철민,조민아,권현상,박정학,임경만,장혜리,조윤경,배진호,안용우,전배수,이창용,박영수,이주실,김수진,권태원,김응수,전국향"
430,SISFF 2017 노년의 초상,,"1,145,000",0.0%,"1,145,000",229,229,1,2,한국,한국,,,,기타,,
431,MSFF2019 전년도수상작 3,,"1,362,000",0.0%,"1,362,000",227,227,1,2,한국,한국,,,,기타,,
432,SIDOF2018_명호/통금/페미니스트와 휴머니스트,,"1,125,000",0.0%,"1,125,000",225,225,1,2,한국,한국,,,,다큐멘터리,"김샛별,김윤정,김소람,김고은",
432,SIFF2018-통일기획전 1,,"1,563,800",0.0%,"1,563,800",225,225,2,4,한국,한국,,,,드라마,,
434,사돈처녀,2018-12-14,"1,046,000",0.0%,"1,046,000",223,223,20,20,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김태수,"김세희,김지혜"
435,MSFF2018 절대악몽 2,,"1,324,800",0.0%,"1,324,800",222,222,1,2,한국,한국,,,,"공포(호러),판타지",,
435,SIFF2018-특별단편 5,,"1,484,000",0.0%,"1,484,000",222,222,1,2,한국,한국,,,,드라마,,
437,SIFF2018-경쟁단편 4,,"1,493,700",0.0%,"1,493,700",219,219,1,3,한국,한국,,,,기타,,
437,사돈 처녀 2,2019-09-05,"1,084,000",0.0%,"1,084,000",219,219,20,20,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,최우성,
439,MSFF2018 미래에 관한 단상들 1,,"1,311,000",0.0%,"1,311,000",218,218,1,2,한국,한국,,,,드라마,,
440,2017 중앙영화제 그믐달,,"1,080,000",0.0%,"1,080,000",216,216,1,2,한국,한국,,,,기타,,
440,2017 중앙영화제 상현달,,"1,080,000",0.0%,"1,080,000",216,216,1,2,한국,한국,,,,기타,,
440,2017 중앙영화제 초승달,,"1,080,000",0.0%,"1,080,000",216,216,1,2,한국,한국,,,,기타,,
440,2017 중앙영화제 하현달,,"1,080,000",0.0%,"1,080,000",216,216,1,2,한국,한국,,,,기타,,
440,[KQFF] 국내단편2:퀴어한 삶들에게,,"1,728,000",0.0%,"1,728,000",216,216,1,2,한국,한국,,,,드라마,,
440,방문,,"1,491,800",0.0%,"1,491,800",216,216,1,14,한국,한국,,(주)시네마달,,다큐멘터리,명소희,
440,하동채복: 두 사람의 노래,,"1,080,000",0.0%,"1,080,000",216,216,1,4,한국,한국,,,,다큐멘터리,남승석,
447,어린 처형 2,2019-08-01,"1,497,000",0.0%,"1,497,000",215,215,20,22,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김태수,
448,SIDOF2019_모스크바 닭도리탕/오늘과 내일/94. 비디오 앨범/핑크페미,,"1,479,300",0.0%,"1,479,300",214,214,1,2,한국,한국,,,,다큐멘터리,,
448,너는 내 운명,1980-03-28,"428,000",0.0%,"2,140,000",214,"1,070",1,10,한국,한국,한림영화,,연소자관람불가,"드라마,멜로/로맨스",정소영,"원미경,이영하,한미영,이종만,윤일봉"
448,사회생활,,"1,264,000",0.0%,"1,264,000",214,214,1,3,한국,한국,,,,드라마,이시대,손슬기
451,장사의 꿈,1985-10-08,"424,000",0.0%,"424,000",212,212,1,8,한국,한국,(주)동아수출공사,,연소자관람불가,"드라마,멜로/로맨스",신승수,"금보라,정진,임성민,김영애"
452,SIDOF2019_망치/75미터의 끝에서/유언,,"1,460,000",0.0%,"1,460,000",210,210,1,2,한국,한국,,,,다큐멘터리,,
452,군함도 감독판,,"1,050,000",0.0%,"1,050,000",210,210,1,1,한국,한국,(주)외유내강,씨제이이앤엠(주),15세이상관람가,"액션,드라마",류승완,"황정민,소지섭,송중기,이정현,김수안,지웅배"
454,SPFF 2018 폐막작(단편 쇼케이스),,"1,530,000",0.0%,"1,530,000",209,209,2,2,한국,한국,,,,드라마,,
454,관계의 의미,,"1,130,000",0.0%,"1,130,000",209,209,1,28,한국,한국,,,,기타,,
456,SISFF 2017 우리 시대의 영웅,,"1,040,000",0.0%,"1,040,000",208,208,1,2,한국,한국,,,,기타,,
456,SISFF 2017 젊은이의 찬가,,"1,040,000",0.0%,"1,040,000",208,208,1,2,한국,한국,,,,기타,,
456,검은 비상선,,"416,000",0.0%,"416,000",208,208,1,18,한국,한국,,,,드라마,남태권,"신성일,남정임"
456,어린 식모,2019-09-19,"990,000",0.0%,"990,000",208,208,20,20,한국,한국,(주)나우콘텐츠,(주)나우콘텐츠,청소년관람불가,"멜로/로맨스,드라마",노현진,민도윤
456,잊혀진 이야기,,"1,112,000",0.0%,"1,112,000",208,208,1,35,한국,한국,,,,기타,,
461,원정녀 1호의 사연,2019-09-24,"1,048,000",0.0%,"1,048,000",207,207,20,20,한국,한국,(주)영화사히트,(주)영화사히트,청소년관람불가,드라마,최성은,
462,말해의 사계절,,"1,181,500",0.0%,"1,181,500",206,206,1,6,한국,한국,,,,다큐멘터리,허철녕,
463,SISFF 2017 관계의 확장,,"1,018,000",0.0%,"1,018,000",205,205,1,2,한국,한국,,,,기타,,
463,SISFF 2017 또 다른 내일,,"1,025,000",0.0%,"1,025,000",205,205,1,2,한국,한국,,,,기타,,
465,극한수업,,"1,039,000",0.0%,"1,039,000",204,204,20,20,한국,한국,,,청소년관람불가,드라마,,
465,젊은엄마네하숙집,2018-09-13,"894,000",0.0%,"894,000",204,204,20,20,한국,한국,(주)로드하우스,(주)로드하우스,청소년관람불가,멜로/로맨스,김종민,이채담
467,MSFF2018 전년도수상작 3,,"1,213,400",0.0%,"1,213,400",203,203,1,2,한국,한국,,,,드라마,,
467,SIFF2017-선택단편 4,,"1,407,900",0.0%,"1,407,900",203,203,1,3,한국,한국,,,,기타,,
467,SIFF2018-경쟁단편 5,,"1,390,000",0.0%,"1,390,000",203,203,1,3,한국,한국,,,,기타,,
467,제15회 아시아나국제단편영화제 국내경쟁 1,,"962,000",0.0%,"962,000",203,203,1,2,한국,한국,,,,기타,,
471,나쁜 엄마,2018-04-26,"1,107,000",0.0%,"1,107,000",201,201,18,20,한국,한국,(주)투모션,(주)투모션,청소년관람불가,멜로/로맨스,현재훈,
471,여고괴담 두번째 이야기,1999-12-24,"1,474,000",0.0%,"1,504,000",201,206,1,3,한국,한국,(주)씨네이천,,12세관람가,공포(호러),"김태용,민규동","공효진,이영진,박예진,김민선,김규리,오민애"
473,SIDOF2018_친구들/불편한영화제/도망치는 것은 비겁하지만 도움이 된다,,"1,000,000",0.0%,"1,000,000",200,200,1,2,한국,한국,,,,다큐멘터리,"김민서,김남주,이성재,허건,박향진",
474,예쁜누나,2018-10-18,"876,000",0.0%,"876,000",198,198,20,20,한국,한국,(주)마이애미미디어,(주)마이애미미디어,청소년관람불가,"멜로/로맨스,드라마",준세,"도모세,이수,이지연"
475,기억의 전쟁,,"1,352,900",0.0%,"1,352,900",196,196,1,4,한국,한국,,,,다큐멘터리,이길보라,
475,젊은 미망인,2019-01-29,"996,000",0.0%,"996,000",196,196,20,21,한국,한국,(주)라온컴퍼니플러스,(주)라온컴퍼니플러스,청소년관람불가,"멜로/로맨스,드라마",한동호,
475,초대녀 2,2018-12-28,"1,424,000",0.0%,"1,424,000",196,196,20,22,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,최우성,김소희
478,딸의 친구 4,2019-07-11,"1,012,000",0.0%,"1,012,000",195,195,20,20,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김태수,
478,비룡문,,"390,000",0.0%,"390,000",195,195,1,7,한국,한국,(주)동아수출공사,,12세이상관람가,액션,김선경,"박종국,문영애,장일식"
478,엄마 애인 2,2019-03-14,"990,000",0.0%,"990,000",195,195,20,20,한국,한국,너바나 필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,최우성,
481,MSFF2018 전년도수상작 1,,"1,161,600",0.0%,"1,161,600",194,194,1,2,한국,한국,,,,드라마,,
481,다방엄마,2019-03-28,"1,425,000",0.0%,"1,425,000",194,194,20,22,한국,한국,(주)투모션,(주)투모션,청소년관람불가,멜로/로맨스,감수성,
483,"단, 비 : 제20회 부산독립영화제 씨네보배 배급선정작 순회상영회",,"1,301,000",0.0%,"1,301,000",193,193,1,4,한국,한국,,,,기타,,
483,어린 이모 2,2019-08-22,"1,413,000",0.0%,"1,413,000",193,193,20,22,한국,한국,모히또필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,정진호,
483,태풍을 일으킨 사나이,1975-11-06,"386,000",0.0%,"984,000",193,503,1,8,한국,한국,(주)동아수출공사,,12세이상관람가,멜로/로맨스,이정호,"이대근,여수진"
486,관전녀,2019-10-10,"1,000,000",0.0%,"1,000,000",191,191,20,20,한국,한국,모히또필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,계장혁,
486,졸업,2019-11-07,"1,081,500",0.0%,"1,081,500",191,191,2,15,한국,한국,,(주)시네마달,,다큐멘터리,박주환,"이승현,박주환,윤명식,전종완"
488,어린 처제,2018-05-04,"1,050,000",0.0%,"1,050,000",190,190,20,21,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,최우성,
489,SIFF2018-경쟁단편 1,,"1,298,300",0.0%,"1,298,300",189,189,1,3,한국,한국,,,,기타,,
489,SIFF2018-선택단편 3,,"1,265,200",0.0%,"1,265,200",189,189,1,3,한국,한국,,,,드라마,,
489,가슴 큰 여자친구,2019-03-08,"978,000",0.0%,"978,000",189,189,20,20,한국,한국,(주)담화,(주)담화,청소년관람불가,멜로/로맨스,준세,
492,2018 중앙영화제 아침,,"940,000",0.0%,"940,000",188,188,1,2,한국,한국,,,,기타,,
492,2018 중앙영화제 일몰,,"940,000",0.0%,"940,000",188,188,1,2,한국,한국,,,,기타,,
492,2018 중앙영화제 저녁,,"940,000",0.0%,"940,000",188,188,1,2,한국,한국,,,,기타,,
492,SIFF2018-경쟁단편 3,,"1,279,200",0.0%,"1,279,200",188,188,1,3,한국,한국,,,,기타,,
492,여동생 커플 훔쳐보기,2018-04-19,"1,065,000",0.0%,"1,065,000",188,188,20,20,한국,한국,(주)로이테미디어,(주)로이테미디어,청소년관람불가,"멜로/로맨스,드라마",왕지방,이수
497,바다의 사자들,1976-08-19,"374,000",0.0%,"374,000",187,187,1,8,한국,한국,(주)동아수출공사,,전체관람가,"드라마,멜로/로맨스",이재웅,"김경수,채령"
497,수상한 노래방,2018-08-09,"1,026,000",0.0%,"1,026,000",187,187,20,20,한국,한국,(주)투모션,(주)투모션,청소년관람불가,멜로/로맨스,"감수성,강수성",
497,처제의 일기,2019-09-26,"988,000",0.0%,"988,000",187,187,20,20,한국,한국,모히또필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,정진호,
500,막내 이모,2019-07-18,"982,000",0.0%,"982,000",186,186,20,20,한국,한국,너바나 필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김태수,
500,옆집 아가씨,2019-03-15,"972,000",0.0%,"972,000",186,186,20,20,한국,한국,선셋 시네마,(주)담화,청소년관람불가,멜로/로맨스,신성진,"안소희,이수,도모세"
502,MSFF2018 심야상영,,"1,842,000",0.0%,"1,842,000",185,185,1,1,한국,한국,,,,"공포(호러),판타지",,
502,SIFF2017-경쟁단편 5,,"1,283,800",0.0%,"1,283,800",185,185,1,3,한국,한국,,,,기타,,
502,SIFF2017-특별단편 3,,"1,266,800",0.0%,"1,266,800",185,185,1,3,한국,한국,,,,기타,,
